Compressive displacement,Primary force measurement,Time measurement
(mm),(kN),(s)
"0.61205","21.27797","14.72000"
"0.61294","21.27626","14.74000"
"0.61383","21.29037","14.76000"
"0.61471","21.30699","14.78000"
"0.61552","21.31905","14.80000"
"0.61616","21.32390","14.82000"
"0.61686","21.32171","14.84000"
"0.61780","21.32485","14.86000"
"0.61888","21.34221","14.88000"
"0.61998","21.36550","14.90000"
"0.62087","21.38236","14.92000"
"0.62145","21.38312","14.94000"
"0.62203","21.37028","14.96000"
"0.62286","21.36302","14.98000"
"0.62377","21.37284","15.00000"
"0.62462","21.38937","15.02000"
"0.62550","21.40327","15.04000"
"0.62620","21.41169","15.06000"
"0.62688","21.41149","15.08000"
"0.62776","21.41215","15.10000"
"0.62882","21.42499","15.12000"
"0.62992","21.44644","15.14000"
"0.63092","21.46593","15.16000"
"0.63155","21.47198","15.18000"
"0.63211","21.46101","15.20000"
"0.63289","21.44972","15.22000"
"0.63380","21.45511","15.24000"
"0.63466","21.47087","15.26000"
"0.63555","21.48554","15.28000"
"0.63629","21.49622","15.30000"
"0.63695","21.49778","15.32000"
"0.63777","21.49674","15.34000"
"0.63883","21.50622","15.36000"
"0.63994","21.52726","15.38000"
"0.64096","21.54808","15.40000"
"0.64163","21.55612","15.42000"
"0.64214","21.54583","15.44000"
"0.64284","21.53111","15.46000"
"0.64377","21.53243","15.48000"
"0.64466","21.54933","15.50000"
"0.64557","21.56710","15.52000"
"0.64635","21.57983","15.54000"
"0.64698","21.58236","15.56000"
"0.64773","21.57876","15.58000"
"0.64873","21.58352","15.60000"
"0.64983","21.60214","15.62000"
"0.65091","21.62454","15.64000"
"0.65170","21.63795","15.66000"
"0.65222","21.63316","15.68000"
"0.65286","21.61820","15.70000"
"0.65375","21.61434","15.72000"
"0.65465","21.62791","15.74000"
"0.65553","21.64528","15.76000"
"0.65637","21.65862","15.78000"
"0.65702","21.66387","15.80000"
"0.65773","21.66119","15.82000"
"0.65868","21.66345","15.84000"
"0.65977","21.67966","15.86000"
"0.66087","21.70210","15.88000"
"0.66175","21.71894","15.90000"
"0.66230","21.71806","15.92000"
"0.66289","21.70293","15.94000"
"0.66373","21.69456","15.96000"
"0.66467","21.70512","15.98000"
"0.66554","21.72300","16.00000"
"0.66638","21.73696","16.02000"
"0.66704","21.74307","16.04000"
"0.66771","21.74028","16.06000"
"0.66860","21.73993","16.08000"
"0.66968","21.75338","16.10000"
"0.67077","21.77564","16.12000"
